orf.name	ORF.type	score.(Agg)	score.(iPSC)	score.(MB1)	score.(Gaertner)	coverage.(Agg)	coverage.(iPSC)	coverage.(MB1)	coverage.(Gaertner)	start.(Agg)	start.(iPSC)	start.(MB1)	start.(Gaertner)	end.(Agg)	end.(iPSC)	end.(MB1)	end.(Gaertner)	comment	match.to.riboseq.call	chrom	chromStart	chromEnd	orf.name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts
all9496	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	45815552	45816767	all9496	0	+	45815552	45816767	0,0,0	3	193,60,59,	0,301,1156,
all9535	Trunc_Novel:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	1372111	1375601	all9535	0	-	1372111	1375601	0,0,0	2	129,111,	0,3379,
all9556	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	4340318	4341400	all9556	0	-	4340318	4341400	0,0,0	3	87,66,33,	0,601,1049,
all9630	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	12584513	12584972	all9630	0	-	12584513	12584972	0,0,0	2	144,126,	0,333,
all9652	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	14505191	14510922	all9652	0	-	14505191	14510922	0,0,0	3	57,111,51,	0,2464,5680,
all9756	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr22	23971550	23971601	all9756	0	-	23971550	23971601	0,0,0	1	51,	0,
all9775	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	24962126	24968037	all9775	0	+	24962126	24968037	0,0,0	2	83,106,	0,5805,
all9812	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr21	31663804	31668578	all9812	0	+	31663804	31668578	0,0,0	4	82,70,118,108,	0,2644,3453,4666,
all9818	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	31852138	31852953	all9818	0	-	31852138	31852953	0,0,0	2	170,142,	0,673,
all10082	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	57720783	57720909	all10082	0	+	57720783	57720909	0,0,0	1	126,	0,
all10115	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	59605139	59607172	all10115	0	+	59605139	59607172	0,0,0	3	45,229,140,	0,306,1893,
all10150	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	62789897	62790047	all10150	0	+	62789897	62790047	0,0,0	1	150,	0,
all10152	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	62789646	62790047	all10152	0	+	62789646	62790047	0,0,0	2	33,162,	0,239,
all10175	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	63302349	63305781	all10175	0	+	63302349	63305781	0,0,0	2	123,168,	0,3264,
all10212	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	71927693	71927813	all10212	0	+	71927693	71927813	0,0,0	1	120,	0,
all10256	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	73975006	73975117	all10256	0	-	73975006	73975117	0,0,0	1	111,	0,
all10287	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	84124629	84124710	all10287	0	-	84124629	84124710	0,0,0	1	81,	0,
all10433	Variant_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	104334260	104348415	all10433	0	+	104334260	104348415	0,0,0	3	72,135,63,	0,4878,14092,
all10473	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	119168479	119169302	all10473	0	-	119168479	119169302	0,0,0	2	54,126,	0,697,
all10485	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	120788591	120810549	all10485	0	-	120788591	120810549	0,0,0	3	306,144,87,	0,17957,21871,
all10610	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	150963534	150964364	all10610	0	+	150963534	150964364	0,0,0	3	207,89,118,	0,460,712,
all10617	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	151405234	151405833	all10617	0	-	151405234	151405833	0,0,0	2	33,114,	0,485,
all10671	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	181236976	181237689	all10671	0	-	181236976	181237689	0,0,0	2	66,81,	0,632,
all10785	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	62000718	62135941	all10785	0	+	62000718	62135941	0,0,0	2	264,111,	0,135112,
all10823	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	101608883	101609471	all10823	0	+	101608883	101609471	0,0,0	2	54,105,	0,483,
all10883	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	157157052	157158966	all10883	0	-	157157052	157158966	0,0,0	2	31,101,	0,1813,
all10890	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	235168524	235175319	all10890	0	-	235168524	235175319	0,0,0	3	128,147,136,	0,4093,6659,
all10927	Variant_Extended:Known_Overlap_uORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	46580487	46594146	all10927	0	-	46580487	46594146	0,0,0	3	140,102,34,	0,2740,13625,
all10977	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	50592951	50595478	all10977	0	-	50592951	50595478	0,0,0	2	147,42,	0,2485,
all11029	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	58670513	58676291	all11029	0	+	58670513	58676291	0,0,0	4	90,144,81,105,	0,640,3117,5673,
all11041	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	60285638	60292482	all11041	0	+	60285638	60292482	0,0,0	4	103,109,58,30,	0,4167,5758,6814,
all11066	Trunc_Internal:Known_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	63059566	63071172	all11066	0	+	63059566	63071172	0,0,0	6	114,71,76,63,70,83,	0,1302,1631,2648,3009,11523,
all11159	Variant_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	73736673	73738797	all11159	0	-	73736673	73738797	0,0,0	4	18,174,136,152,	0,888,1654,1972,
all11260	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	85959045	85976670	all11260	0	-	85959045	85976670	0,0,0	3	15,105,48,	0,15662,17577,
all11293	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	88459612	88459855	all11293	0	-	88459612	88459855	0,0,0	1	243,	0,
all11414	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	120526760	120530176	all11414	0	-	120526760	120530176	0,0,0	2	96,75,	0,3341,
all11433	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	121816406	121816856	all11433	0	+	121816406	121816856	0,0,0	2	41,85,	0,365,
all11439	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	122291787	122322617	all11439	0	+	122291787	122322617	0,0,0	3	53,160,78,	0,21439,30752,
all11454	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	11956019	11956175	all11454	0	+	11956019	11956175	0,0,0	1	156,	0,
all11520	Trunc_Novel:Known_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	74771723	74773672	all11520	0	-	74771723	74773672	0,0,0	5	135,95,60,144,97,	0,236,494,1172,1852,
all11528	Trunc_Novel:Known_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	75516814	75527214	all11528	0	+	75516814	75527214	0,0,0	3	165,126,255,	0,4921,10145,
all11547	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	100435359	100435509	all11547	0	-	100435359	100435509	0,0,0	1	150,	0,
all11571	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	149205289	149214710	all11571	0	+	149205289	149214710	0,0,0	4	115,99,131,165,	0,3024,7702,9256,
all11601	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	123659797	123660235	all11601	0	+	123659797	123660235	0,0,0	3	133,37,70,	0,248,368,
all11611	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	124873698	124876940	all11611	0	+	124873698	124876940	0,0,0	3	66,177,63,	0,1276,3179,
all11621	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	125276145	125292903	all11621	0	-	125276145	125292903	0,0,0	3	98,139,63,	0,956,16695,
all11637	Trunc_5'UTR:CDSFrameOverlap_uORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	140565878	140566762	all11637	0	+	140565878	140566762	0,0,0	2	93,198,	0,686,
all11673	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	147944972	147948844	all11673	0	+	147944972	147948844	0,0,0	3	79,83,162,	0,561,3710,
all11679	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	150457124	150458636	all11679	0	+	150457124	150458636	0,0,0	2	3,261,	0,1251,
all11684	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	151557200	151564182	all11684	0	-	151557200	151564182	0,0,0	3	32,94,105,	0,3323,6877,
all11721	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	6614545	6614659	all11721	0	-	6614545	6614659	0,0,0	1	114,	0,
all11786	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	19526189	19528126	all11786	0	+	19526189	19528126	0,0,0	4	71,72,70,120,	0,1091,1511,1817,
all11824	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	21498257	21499098	all11824	0	-	21498257	21499098	0,0,0	2	112,74,	0,767,
all11885	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	39774843	39778434	all11885	0	+	39774843	39778434	0,0,0	3	90,129,75,	0,2838,3516,
all11959	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	48955570	48961636	all11959	0	+	48955570	48961636	0,0,0	5	29,147,136,105,105,	0,116,627,5239,5961,
all12083	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	69171188	69171269	all12083	0	+	69171188	69171269	0,0,0	1	81,	0,
all12114	Trunc_Internal:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	81702694	81703064	all12114	0	-	81702694	81703064	0,0,0	2	171,96,	0,274,
all12147	Trunc_Truncated_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	98102841	98108702	all12147	0	-	98102841	98108702	0,0,0	5	63,56,69,55,57,	0,1647,3096,3430,5804,
all12162	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	99881993	99892019	all12162	0	-	99881993	99892019	0,0,0	5	74,64,134,59,20,	0,2068,3548,5302,10006,
all12164	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	99982611	99985020	all12164	0	-	99982611	99985020	0,0,0	2	102,54,	0,2355,
all12167	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	100275610	100291504	all12167	0	+	100275610	100291504	0,0,0	5	113,59,95,105,102,	0,1647,9617,11488,15792,
all12194	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	112532698	112532764	all12194	0	-	112532698	112532764	0,0,0	1	66,	0,
all12203	Trunc_Novel:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	112864629	112867537	all12203	0	+	112864629	112867537	0,0,0	2	103,134,	0,2774,
all12290	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	161042213	161042665	all12290	0	-	161042213	161042665	0,0,0	2	4,80,	0,372,
all12336	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	169811819	169819635	all12336	0	-	169811819	169819635	0,0,0	4	39,50,52,75,	0,637,3657,7741,
all12417	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	177431707	177436349	all12417	0	-	177431707	177436349	0,0,0	4	101,134,108,74,	0,1506,2674,4568,
all12511	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	67004339	67009143	all12511	0	-	67004339	67009143	0,0,0	2	109,59,	0,4745,
all12516	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	70297288	70300974	all12516	0	-	70297288	70300974	0,0,0	2	189,135,	0,3551,
all12531	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	125276145	125300596	all12531	0	-	125276145	125300596	0,0,0	5	98,139,69,103,59,	0,956,16695,22568,24392,
all12543	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	160213168	160213486	all12543	0	+	160213168	160213486	0,0,0	2	97,65,	0,253,
all12545	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	171996952	171997039	all12545	0	-	171996952	171997039	0,0,0	1	87,	0,
all12572	Trunc_Truncated_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	4090597	4097335	all12572	0	-	4090597	4097335	0,0,0	4	111,46,62,57,	0,3855,4790,6681,
all12591	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	7174567	7174729	all12591	0	+	7174567	7174729	0,0,0	1	162,	0,
all12604	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	6799223	6800984	all12604	0	-	6799223	6800984	0,0,0	2	56,37,	0,1724,
all12654	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr13	19837544	19837739	all12654	0	-	19837544	19837739	0,0,0	1	195,	0,
all12660	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	19975698	19983823	all12660	0	+	19975698	19983823	0,0,0	4	54,123,94,116,	0,348,2611,8009,
all12701	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	30192974	30193452	all12701	0	-	30192974	30193452	0,0,0	2	100,95,	0,383,
all12734	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	38839552	38846044	all12734	0	-	38839552	38846044	0,0,0	2	152,106,	0,6386,
all12777	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr22	39529491	39529620	all12777	0	-	39529491	39529620	0,0,0	1	129,	0,
all12788	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	47142316	47142439	all12788	0	-	47142316	47142439	0,0,0	1	123,	0,
all12791	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	47247831	47247930	all12791	0	+	47247831	47247930	0,0,0	1	99,	0,
all12798	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	47699234	47699366	all12798	0	+	47699234	47699366	0,0,0	1	132,	0,
all12828	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	48751584	48751716	all12828	0	-	48751584	48751716	0,0,0	1	132,	0,
all12850	Trunc_Novel:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	54537727	54538383	all12850	0	+	54537727	54538383	0,0,0	2	102,321,	0,335,
all12877	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	56518088	56518265	all12877	0	+	56518088	56518265	0,0,0	1	177,	0,
all12891	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	67618996	67619044	all12891	0	-	67618996	67619044	0,0,0	1	48,	0,
all12926	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	69270184	69300924	all12926	0	+	69270184	69300924	0,0,0	4	101,197,185,93,	0,13863,29405,30647,
all12952	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	69626470	69646563	all12952	0	+	69626470	69646563	0,0,0	2	58,47,	0,20046,
all12976	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	82276108	82277763	all12976	0	-	82276108	82277763	0,0,0	3	147,121,71,	0,289,1584,
all13005	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	99948461	99949668	all13005	0	-	99948461	99949668	0,0,0	4	62,130,114,6,	0,349,811,1201,
all13007	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	100141180	100143738	all13007	0	+	100141180	100143738	0,0,0	3	66,58,38,	0,555,2520,
all13026	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	111730920	111731022	all13026	0	-	111730920	111731022	0,0,0	1	102,	0,
all13056	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	113408810	113409712	all13056	0	-	113408810	113409712	0,0,0	2	173,103,	0,799,
all13103	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	129828160	129830923	all13103	0	-	129828160	129830923	0,0,0	4	92,99,137,53,	0,1044,1244,2710,
all13132	Variant_Extended_Overlap_uORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	161037774	161038955	all13132	0	-	161037774	161038955	0,0,0	4	52,163,123,76,	0,138,776,1105,
all13254	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	49217227	49225244	all13254	0	+	49217227	49225244	0,0,0	2	86,40,	0,7977,
all13257	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr22	49924376	49927307	all13257	0	+	49924376	49927307	0,0,0	3	79,141,53,	0,1040,2878,
all13268	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	62735395	62738382	all13268	0	+	62735395	62738382	0,0,0	2	169,95,	0,2892,
all13287	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	75293951	75305163	all13287	0	-	75293951	75305163	0,0,0	2	91,140,	0,11072,
all13323	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	103590217	103590286	all13323	0	+	103590217	103590286	0,0,0	1	69,	0,
all13324	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	104126847	104161113	all13324	0	-	104126847	104161113	0,0,0	3	46,113,42,	0,9933,34224,
all13378	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	147159564	147162535	all13378	0	-	147159564	147162535	0,0,0	3	78,69,96,	0,2147,2875,
all13394	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	247156565	247157165	all13394	0	-	247156565	247157165	0,0,0	1	600,	0,
all13408	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	44321355	44321424	all13408	0	-	44321355	44321424	0,0,0	1	69,	0,
all13412	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr13	45014990	45028003	all13412	0	+	45014990	45028003	0,0,0	4	93,165,99,219,	0,441,5339,12794,
all13523	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	29453632	29454110	all13523	0	-	29453632	29454110	0,0,0	2	100,95,	0,383,
all13533	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	31859129	31859180	all13533	0	+	31859129	31859180	0,0,0	1	51,	0,
all13563	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	2253963	2254035	all13563	0	-	2253963	2254035	0,0,0	1	72,	0,
all13578	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr18	9396281	9399527	all13578	0	+	9396281	9399527	0,0,0	2	265,182,	0,3064,
all13582	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	9488179	9488329	all13582	0	+	9488179	9488329	0,0,0	1	150,	0,
